CPF/CNPJ,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_UE,NM_UE,SG_PARTIDO,DS_CARGO,DS_OCUPACAO,SUM de Valor do Auto,COUNTA de Valor do Auto
x,CLESIO ANTONIO SOUSA CARVALHO FILHO,DR CLESIO CARVALHO,MT,MATO GROSSO,PROS,DEPUTADO FEDERAL,MÉDICO,15550000,2
x,ROBSAO DEMONTHI DE SOUZA MOREIRA,ROBÃO DA CENTRAL DO BOI,RO,RONDÔNIA,PSC,DEPUTADO FEDERAL,PECUARISTA,7589000,3
x,AFFONSO ANTONIO CANDIDO,AFFONSO CANDIDO,RO,RONDÔNIA,PL,DEPUTADO ESTADUAL,EMPRESÁRIO,7025000,4
x,EFRAIN DE SOUSA CASTILHO SOBRINHO,EFRAIN CASTILHO,MT,MATO GROSSO,PSOL,DEPUTADO ESTADUAL,EMPRESÁRIO,6236473,10
x,RUI ALBERTO WOLFART,RUI WOLFART,MT,MATO GROSSO,PSDB,DEPUTADO ESTADUAL,ENGENHEIRO,"5551143,5",5
x,ERNANDES SANTOS AMORIM,AMORIM,RO,RONDÔNIA,PSB,DEPUTADO ESTADUAL,AGRICULTOR,4979700,7
x,JOSE GERARDO OLIVEIRA DE ARRUDA FILHO,ZÉ GERARDO,CE,CEARÁ,PL,DEPUTADO FEDERAL,EMPRESÁRIO,3229724,5
x,ARAY CARLOS DA FONSECA FILHO,DR. ARAY FONSECA,MT,MATO GROSSO,PL,DEPUTADO FEDERAL,MÉDICO,2455000,7
x,JOSE LOPES JUNIOR,ZÉ LOPES,AC,ACRE,PL,DEPUTADO ESTADUAL,ADVOGADO,"2394272,8",5
x,CARLITO PEREIRA DA COSTA,CARLITO ARRUDA,MG,MINAS GERAIS,PDT,DEPUTADO FEDERAL,EMPRESÁRIO,2053445,1
x,GASPAR DOMINGOS LAZARI,GASPAR,MT,MATO GROSSO,PSD,DEPUTADO ESTADUAL,PECUARISTA,2050000,2
x,RODRIGO MARTINS DE MELLO,RODRIGO CATARATAS,RR,RORAIMA,PL,DEPUTADO FEDERAL,EMPRESÁRIO,1946500,5
x,JOSE EURIPEDES CLEMENTE,LEBRÃO,RO,RONDÔNIA,UNIÃO,DEPUTADO FEDERAL,DEPUTADO,1935000,3
x,VALTER MIOTTO FERREIRA,VALTINHO MIOTTO,MT,MATO GROSSO,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,1786982,8
x,ANTONIO GALVAN,ANTÔNIO GALVAN,MT,MATO GROSSO,PTB,SENADOR,EMPRESÁRIO,1561000,2
x,SIRLEI BRAGATTO,SIRLEI DA BRASÍLIA,PA,PARÁ,PMB,DEPUTADO ESTADUAL,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,1506000,1
x,ONDANIR BORTOLINI,NININHO,MT,MATO GROSSO,PSD,DEPUTADO ESTADUAL,DEPUTADO,"1296794,5",5
x,EDER BARCELOS BRANDAO,EDER LOURINHO,RR,RORAIMA,PSD,DEPUTADO ESTADUAL,DEPUTADO,860000,3
x,IVO NARCISO CASSOL,IVO CASSOL,RO,RONDÔNIA,PP,GOVERNADOR,EMPRESÁRIO,800000,1
x,LUCIANO PEREIRA DE OLIVEIRA,LUCIANO OLIVEIRA,TO,TOCANTINS,PSD,DEPUTADO ESTADUAL,AGRICULTOR,657000,3
x,JOSE ALVES DOS SANTOS,ZÉ DA VIOLA,MS,MATO GROSSO DO SUL,UNIÃO,DEPUTADO FEDERAL,PRODUTOR AGROPECUÁRIO,650000,1
x,MARCIO ANTONIO DE ARAUJO,MARCIO TINTE,SC,SANTA CATARINA,REPUBLICANOS,DEPUTADO ESTADUAL,OUTROS,627000,11
x,JOILMA TEODORA DE ARAUJO SILVA,JOILMA TEODORA,RR,RORAIMA,PODE,DEPUTADO ESTADUAL,EMPRESÁRIO,616000,4
x,HELDER ZAHLUTH BARBALHO,HELDER,PA,PARÁ,MDB,GOVERNADOR,GOVERNADOR,500000,1
x,JOSE ATILIO SALAZAR MARTINS,ZÉ JODAN,RO,RONDÔNIA,PSC,DEPUTADO ESTADUAL,PRODUTOR AGROPECUÁRIO,499000,3
x,FRANCIS MARIS CRUZ,FRANCIS MARIS DA COMETA,MT,MATO GROSSO,PSDB,DEPUTADO ESTADUAL,EMPRESÁRIO,478800,3
x,CARLOS VINICIOS DE MELO VIEIRA,CARLOS VINICIOS,PA,PARÁ,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,420000,1
x,LUCIANO CALDAS BIVAR,LUCIANO BIVAR,PE,PERNAMBUCO,UNIÃO,DEPUTADO FEDERAL,EMPRESÁRIO,400000,3
x,DALTON BENONI MARTINI,DALTON MARTINI,MT,MATO GROSSO,PTB,DEPUTADO FEDERAL,EMPRESÁRIO,374650,1
x,EZEQUIEL FERREIRA LEITE NETO,EZEQUIEL LEITE,SE,SERGIPE,PSDB,1º SUPLENTE,EMPRESÁRIO,367000,6
x,JURACI FRANCISCO DOS SANTOS,JURACI ESCURINHO,RR,RORAIMA,PDT,GOVERNADOR,EMPRESÁRIO,365000,2
x,MANOEL QUEIROZ DOS SANTOS,MANOEL QUEIROZ,TO,TOCANTINS,PL,DEPUTADO ESTADUAL,OUTROS,350000,1
x,FILIPE MARTINS DOS SANTOS,FILIPE MARTINS,TO,TOCANTINS,PL,DEPUTADO FEDERAL,PECUARISTA,346000,2
x,ROMILDO VELOSO E SILVA,DR VELOSO,PA,PARÁ,MDB,DEPUTADO ESTADUAL,MÉDICO,285000,1
x,JOAO VICENTE FERREIRA DO VALE,BRANCO DA WHITE,PA,PARÁ,PSDB,1º SUPLENTE,OUTROS,282790,2
